bug_id,proximity_class
Chart_2,Cluster
Chart_4,Nucleus
Chart_14,Orbit
Chart_15,Cluster
Chart_16,Cluster
Chart_18,Orbit
Chart_19,Cluster
Chart_21,Cluster
Chart_22,Cluster
Chart_25,Cluster
Cli_1,Cluster
Cli_7,Cluster
Cli_10,Cluster
Cli_13,Sprawl
Cli_14,Nucleus
Cli_16,Sprawl
Cli_18,Cluster
Cli_21,Sprawl
Cli_22,Cluster
Cli_23,Nucleus
Cli_26,Nucleus
Cli_30,Orbit
Cli_31,Orbit
Cli_33,Cluster
Cli_34,Orbit
Cli_36,Orbit
Cli_39,Cluster
Closure_3,Cluster
Closure_4,Nucleus
Closure_6,Cluster
Closure_9,Cluster
Closure_16,Cluster
Closure_21,Nucleus
Closure_24,Nucleus
Closure_25,Nucleus
Closure_26,Cluster
Closure_27,Cluster
Closure_29,Nucleus
Closure_30,Orbit
Closure_32,Nucleus
Closure_34,Orbit
Closure_37,Sprawl
Closure_39,Nucleus
Closure_41,Cluster
Closure_43,Cluster
Closure_45,Cluster
Closure_47,Fragment
Closure_49,Cluster
Closure_50,Nucleus
Closure_51,Nucleus
Closure_53,Nucleus
Closure_54,Fragment
Closure_60,Cluster
Closure_64,Cluster
Closure_68,Cluster
Closure_72,Orbit
Closure_74,Cluster
Closure_75,Cluster
Closure_76,Cluster
Closure_79,Orbit
Closure_80,Cluster
Closure_84,Cluster
Closure_85,Cluster
Closure_89,Orbit
Closure_90,Fragment
Closure_98,Cluster
Closure_99,Nucleus
Closure_100,Cluster
Closure_103,Orbit
Closure_105,Nucleus
Closure_106,Fragment
Closure_108,Cluster
Closure_110,Fragment
Closure_115,Nucleus
Closure_116,Nucleus
Closure_117,Nucleus
Closure_134,Orbit
Closure_135,Fragment
Closure_136,Orbit
Closure_137,Orbit
Closure_138,Orbit
Closure_139,Cluster
Closure_140,Cluster
Closure_141,Orbit
Closure_142,Sprawl
Closure_143,Orbit
Closure_144,Fragment
Closure_147,Orbit
Closure_148,Orbit
Closure_149,Orbit
Closure_151,Cluster
Closure_153,Orbit
Closure_154,Orbit
Closure_155,Orbit
Closure_156,Cluster
Closure_157,Sprawl
Closure_158,Orbit
Closure_160,Nucleus
Closure_162,Orbit
Closure_163,Orbit
Closure_164,Nucleus
Closure_165,Orbit
Closure_167,Fragment
Closure_169,Orbit
Closure_171,Orbit
Closure_173,Orbit
Closure_174,Orbit
Closure_175,Cluster
Closure_176,Nucleus
Codec_1,Orbit
Codec_6,Nucleus
Codec_8,Orbit
Codec_11,Cluster
Codec_12,Cluster
Codec_13,Sprawl
Codec_14,Orbit
Collections_25,Cluster
Compress_2,Cluster
Compress_3,Cluster
Compress_4,Sprawl
Compress_6,Cluster
Compress_9,Cluster
Compress_10,Nucleus
Compress_11,Nucleus
Compress_20,Cluster
Compress_22,Cluster
Compress_29,Sprawl
Compress_33,Sprawl
Compress_34,Cluster
Compress_35,Nucleus
Compress_39,Cluster
Compress_40,Nucleus
Compress_42,Orbit
Compress_43,Cluster
Compress_47,Cluster
Csv_7,Cluster
Csv_8,Cluster
Csv_13,Orbit
Csv_16,Cluster
Gson_1,Cluster
Gson_3,Cluster
Gson_4,Orbit
Gson_7,Cluster
Gson_8,Cluster
Gson_9,Sprawl
Gson_14,Cluster
JacksonCore_1,Sprawl
JacksonCore_2,Orbit
JacksonCore_9,Sprawl
JacksonCore_10,Cluster
JacksonCore_12,Orbit
JacksonCore_16,Cluster
JacksonCore_17,Cluster
JacksonCore_18,Sprawl
JacksonCore_19,Orbit
JacksonCore_21,Nucleus
JacksonCore_22,Cluster
JacksonCore_24,Orbit
JacksonDatabind_3,Cluster
JacksonDatabind_4,Cluster
JacksonDatabind_6,Nucleus
JacksonDatabind_8,Nucleus
JacksonDatabind_10,Orbit
JacksonDatabind_13,Sprawl
JacksonDatabind_14,Cluster
JacksonDatabind_15,Sprawl
JacksonDatabind_18,Cluster
JacksonDatabind_20,Cluster
JacksonDatabind_21,Cluster
JacksonDatabind_22,Orbit
JacksonDatabind_23,Cluster
JacksonDatabind_25,Sprawl
JacksonDatabind_29,Cluster
JacksonDatabind_30,Sprawl
JacksonDatabind_31,Cluster
JacksonDatabind_32,Cluster
JacksonDatabind_36,Cluster
JacksonDatabind_38,Orbit
JacksonDatabind_41,Cluster
JacksonDatabind_43,Cluster
JacksonDatabind_48,Orbit
JacksonDatabind_50,Cluster
JacksonDatabind_52,Sprawl
JacksonDatabind_53,Orbit
JacksonDatabind_54,Nucleus
JacksonDatabind_55,Cluster
JacksonDatabind_56,Cluster
JacksonDatabind_59,Sprawl
JacksonDatabind_60,Cluster
JacksonDatabind_61,Sprawl
JacksonDatabind_65,Sprawl
JacksonDatabind_66,Cluster
JacksonDatabind_68,Cluster
JacksonDatabind_69,Cluster
JacksonDatabind_72,Cluster
JacksonDatabind_73,Orbit
JacksonDatabind_75,Cluster
JacksonDatabind_77,Cluster
JacksonDatabind_78,Cluster
JacksonDatabind_79,Sprawl
JacksonDatabind_80,Cluster
JacksonDatabind_81,Cluster
JacksonDatabind_87,Cluster
JacksonDatabind_90,Sprawl
JacksonDatabind_94,Cluster
JacksonDatabind_95,Orbit
JacksonDatabind_103,Sprawl
JacksonDatabind_104,Cluster
JacksonDatabind_105,Cluster
JacksonDatabind_108,Cluster
JacksonDatabind_109,Orbit
JacksonDatabind_110,Cluster
JacksonDatabind_111,Sprawl
JacksonXml_1,Nucleus
JacksonXml_2,Cluster
JacksonXml_6,Cluster
Jsoup_3,Sprawl
Jsoup_4,Cluster
Jsoup_7,Cluster
Jsoup_11,Cluster
Jsoup_12,Cluster
Jsoup_14,Orbit
Jsoup_16,Cluster
Jsoup_18,Cluster
Jsoup_21,Orbit
Jsoup_22,Sprawl
Jsoup_23,Orbit
Jsoup_28,Sprawl
Jsoup_29,Cluster
Jsoup_30,Cluster
Jsoup_31,Orbit
Jsoup_36,Cluster
Jsoup_42,Nucleus
Jsoup_50,Nucleus
Jsoup_52,Sprawl
Jsoup_56,Sprawl
Jsoup_58,Sprawl
Jsoup_59,Nucleus
Jsoup_60,Sprawl
Jsoup_63,Orbit
Jsoup_65,Orbit
Jsoup_66,Cluster
Jsoup_67,Cluster
Jsoup_71,Orbit
Jsoup_73,Cluster
Jsoup_74,Cluster
Jsoup_78,Cluster
Jsoup_79,Cluster
Jsoup_81,Cluster
Jsoup_83,Orbit
Jsoup_87,Sprawl
Jsoup_91,Sprawl
Jsoup_92,Sprawl
JxPath_1,Sprawl
JxPath_2,Cluster
JxPath_3,Cluster
JxPath_4,Sprawl
JxPath_7,Orbit
JxPath_9,Orbit
JxPath_11,Sprawl
JxPath_13,Sprawl
JxPath_15,Cluster
JxPath_16,Sprawl
JxPath_17,Sprawl
JxPath_18,Cluster
JxPath_19,Sprawl
JxPath_20,Cluster
Lang_4,Cluster
Lang_5,Nucleus
Lang_7,Cluster
Lang_8,Cluster
Lang_13,Cluster
Lang_15,Cluster
Lang_19,Nucleus
Lang_20,Cluster
Lang_23,Cluster
Lang_27,Nucleus
Lang_30,Cluster
Lang_32,Cluster
Lang_34,Cluster
Lang_35,Cluster
Lang_36,Cluster
Lang_41,Cluster
Lang_46,Cluster
Lang_47,Cluster
Lang_50,Cluster
Lang_56,Cluster
Lang_60,Cluster
Lang_62,Cluster
Lang_63,Cluster
Lang_64,Cluster
Lang_65,Nucleus
Math_1,Orbit
Math_4,Sprawl
Math_6,Sprawl
Math_7,Nucleus
Math_12,Cluster
Math_14,Sprawl
Math_15,Cluster
Math_16,Cluster
Math_18,Cluster
Math_21,Nucleus
Math_22,Orbit
Math_23,Nucleus
Math_24,Nucleus
Math_26,Nucleus
Math_28,Nucleus
Math_29,Cluster
Math_31,Nucleus
Math_35,Cluster
Math_36,Cluster
Math_37,Cluster
Math_38,Nucleus
Math_44,Nucleus
Math_46,Cluster
Math_47,Cluster
Math_49,Cluster
Math_52,Nucleus
Math_54,Cluster
Math_55,Nucleus
Math_61,Cluster
Math_62,Cluster
Math_64,Nucleus
Math_65,Cluster
Math_66,Cluster
Math_68,Cluster
Math_71,Orbit
Math_72,Nucleus
Math_76,Cluster
Math_77,Orbit
Math_78,Nucleus
Math_81,Cluster
Math_83,Cluster
Math_84,Nucleus
Math_86,Nucleus
Math_90,Nucleus
Math_92,Cluster
Math_93,Cluster
Math_98,Orbit
Math_99,Cluster
Math_100,Cluster
Math_106,Nucleus
Mockito_2,Cluster
Mockito_3,Cluster
Mockito_4,Cluster
Mockito_6,Cluster
Mockito_9,Cluster
Mockito_10,Cluster
Mockito_14,Orbit
Mockito_15,Cluster
Mockito_16,Fragment
Mockito_17,Fragment
Mockito_19,Sprawl
Mockito_20,Nucleus
Mockito_21,Cluster
Mockito_23,Cluster
Mockito_25,Cluster
Mockito_30,Fragment
Mockito_31,Cluster
Mockito_32,Cluster
Mockito_35,Cluster
Mockito_36,Cluster
Time_1,Sprawl
Time_2,Sprawl
Time_3,Cluster
Time_6,Cluster
Time_9,Cluster
Time_10,Cluster
Time_12,Orbit
Time_13,Cluster
Time_23,Nucleus
Time_26,Sprawl
